iso_code,countries,total_cases_per_million,hospital_beds_per_thousand,gdp_per_capita,ECONOMIC FREEDOM,1_size_government,rank
ALB,Albania,553.0,3.0,11803.0,7.54,8.79286087,96.0
ARG,Argentina,725.0,5.0,18934.0,7.34,8.22213095,160.0
ARM,Armenia,5759.0,4.0,8788.0,7.75,8.762804536,44.0
AUS,Australia,288.0,4.0,44649.0,8.19,6.851771915,17.0
AUT,Austria,1895.0,7.0,45437.0,7.96,5.759279995,30.0
AZE,Azerbaijan,1018.0,5.0,15847.0,6.49,5.4214377129999995,128.0
BDI,Burundi,9.0,1.0,702.0,5.97,6.117647058999999,146.0
BEL,Belgium,5186.0,6.0,42659.0,7.76,5.434989473,52.0
BEN,Benin,40.0,0.0,2064.0,6.44,7.723117417999999,134.0
BFA,Burkina Faso,43.0,0.0,1703.0,6.05,5.837810547,133.0
BGD,Bangladesh,550.0,1.0,3524.0,6.37,9.090700056000001,120.0
BGR,Bulgaria,481.0,7.0,18563.0,7.41,7.14178955,105.0
BHR,Bahrain,11174.0,2.0,43291.0,7.56,8.317484907999999,68.0
BHS,Bahamas,264.0,3.0,27718.0,7.58,8.510057702000001,64.0
BIH,Bosnia and Herzegovina,882.0,4.0,11714.0,6.79,6.565509317999999,101.0
BLR,Belarus,5787.0,11.0,17168.0,6.23,6.761446145,123.0
BLZ,Belize,53.0,1.0,7824.0,7.37,7.8363838470000005,100.0
BOL,Bolivia,1634.0,1.0,6886.0,6.97,8.011189734,126.0
BRA,Brazil,4179.0,2.0,14103.0,6.46,7.289832782,144.0
BRB,Barbados,338.0,6.0,16978.0,6.68,8.11186539,111.0
BTN,Bhutan,87.0,2.0,8709.0,7.11,7.786619694,80.0
BWA,Botswana,26.0,2.0,15807.0,7.44,6.791008174,80.0
CAN,Canada,2627.0,2.0,44018.0,8.27,6.877530662000001,12.0
CHE,Switzerland,3587.0,5.0,57410.0,8.73,7.966666281,7.0
CHL,Chile,9387.0,2.0,22767.0,7.91,8.028427669,69.0
CHN,China,59.0,4.0,15309.0,6.46,5.0838636,116.0
CMR,Cameroon,372.0,1.0,3365.0,6.08,8.365749411,141.0
COL,Colombia,1043.0,2.0,13255.0,6.82,7.354318553,105.0
CPV,Cape Verde,1367.0,2.0,6223.0,6.68,6.346389177000001,108.0
CRI,Costa Rica,342.0,1.0,15525.0,7.76,8.804095558,53.0
CYP,Cyprus,1125.0,3.0,32415.0,7.77,9.541469848,70.0
DEU,Germany,2230.0,8.0,45229.0,7.8,5.8183763420000005,29.0
DNK,Denmark,2109.0,2.0,46683.0,8.06,4.417556358,25.0
DZA,Algeria,252.0,2.0,13914.0,5.68,6.710156702999999,159.0
ECU,Ecuador,2682.0,2.0,10582.0,6.31,9.003747713,142.0
EGY,Egypt,452.0,2.0,10550.0,6.59,7.122553285,147.0
ESP,Spain,5221.0,3.0,34272.0,7.77,8.202887836,45.0
EST,Estonia,1488.0,5.0,29481.0,7.98,7.027855025,57.0
ETH,Ethiopia,31.0,0.0,1730.0,5.78,6.835239777999999,147.0
FIN,Finland,1283.0,3.0,40586.0,7.98,6.391333872000001,22.0
FJI,Fiji,20.0,2.0,8703.0,7.32,8.237838596,108.0
FRA,France,2411.0,6.0,38606.0,7.5,5.447183712,59.0
GAB,Gabon,1812.0,6.0,16562.0,5.89,7.614080782,145.0
GBR,United Kingdom,4373.0,3.0,39753.0,8.56,6.8149836189999995,29.0
GEO,Georgia,220.0,3.0,9745.0,8.02,7.753333923,56.0
GHA,Ghana,385.0,1.0,4228.0,6.92,7.29529572,114.0
GIN,Guinea,348.0,0.0,1999.0,5.93,6.54621401,144.0
GRC,Greece,301.0,4.0,24574.0,7.38,8.043122685,111.0
GTM,Guatemala,573.0,1.0,7424.0,7.69,9.52848501,64.0
GUY,Guyana,202.0,2.0,7435.0,6.52,6.87254902,129.0
HND,Honduras,927.0,1.0,4542.0,7.39,9.034558824,70.0
HRV,Croatia,549.0,6.0,22670.0,7.04,5.282902663,94.0
HTI,Haiti,389.0,1.0,1653.0,7.06,9.904650852,128.0
HUN,Hungary,422.0,7.0,26778.0,7.39,6.349890986,84.0
IDN,Indonesia,144.0,1.0,11189.0,7.16,7.959514134,105.0
IND,India,249.0,1.0,6427.0,6.71,7.829001671,122.0
IRL,Ireland,5128.0,3.0,67335.0,8.25,6.640552896,23.0
IRN,Iran,2261.0,2.0,19083.0,6.09,7.456834027999999,155.0
IRQ,Iraq,530.0,1.0,15664.0,5.4,5.248190078,152.0
ISL,Iceland,5304.0,3.0,46483.0,8.13,7.060758936,102.0
ISR,Israel,2234.0,3.0,33132.0,7.49,6.435458282999999,98.0
ITA,Italy,3925.0,3.0,35220.0,7.59,6.13550195,65.0
JAM,Jamaica,210.0,2.0,8194.0,7.55,8.812477563,85.0
JOR,Jordan,96.0,1.0,8337.0,7.65,8.299256238,59.0
JPN,Japan,139.0,13.0,39002.0,7.94,9.267629258,41.0
KAZ,Kazakhstan,809.0,7.0,24056.0,7.26,8.325725276,73.0
KEN,Kenya,69.0,1.0,2993.0,7.2,8.567166041,75.0
KHM,Cambodia,8.0,1.0,3645.0,7.2,7.897866967000001,77.0
KWT,Kuwait,8531.0,2.0,65531.0,7.51,6.772580795,101.0
LAO,Laos,3.0,2.0,6397.0,6.97,8.484856186,81.0
LBN,Lebanon,214.0,3.0,13368.0,7.21,9.220373858,79.0
LBR,Liberia,98.0,1.0,753.0,7.18,8.488425676,100.0
LBY,Libya,68.0,4.0,17882.0,4.89,4.75,161.0
LKA,Sri Lanka,89.0,4.0,11669.0,6.77,8.52521037,106.0
LTU,Lithuania,651.0,7.0,29524.0,7.91,7.233303802000001,80.0
LUX,Luxembourg,6505.0,5.0,94278.0,8.48,7.393819767999999,34.0
LVA,Latvia,582.0,6.0,25064.0,7.81,7.501949431,75.0
MAR,Morocco,239.0,1.0,7485.0,6.47,6.796384773,120.0
MDA,Moldova,2945.0,6.0,5190.0,6.91,8.036194369,104.0
MDG,Madagascar,47.0,0.0,1416.0,6.6,9.21289304,126.0
MEX,Mexico,1165.0,1.0,17336.0,6.9,7.964138798,94.0
MKD,Macedonia,1995.0,4.0,13111.0,7.24,6.723166564,90.0
MLI,Mali,92.0,0.0,2014.0,6.16,9.259995784,143.0
MLT,Malta,1470.0,4.0,36513.0,7.8,6.003186143,71.0
MMR,Myanmar,5.0,1.0,5592.0,5.42,6.333333333,152.0
MNE,Montenegro,519.0,4.0,16409.0,7.33,6.926470588,94.0
MNG,Mongolia,60.0,7.0,11841.0,7.4,8.227589886,80.0
MOZ,Mozambique,19.0,1.0,1136.0,5.93,7.220588235,149.0
MUS,Mauritius,265.0,3.0,20293.0,8.15,8.388185206000001,59.0
MWI,Malawi,29.0,1.0,1095.0,6.52,8.367631031,139.0
MYS,Malaysia,262.0,2.0,26808.0,7.36,6.917168884,87.0
NER,Niger,40.0,0.0,926.0,6.01,8.99543196,141.0
NIC,Nicaragua,250.0,1.0,5321.0,7.36,8.58306359,111.0
NLD,Netherlands,2847.0,3.0,48473.0,7.96,4.947751146,28.0
NOR,Norway,1592.0,4.0,64800.0,7.73,5.8206164639999995,44.0
NPL,Nepal,213.0,0.0,2443.0,6.59,9.261764706000001,127.0
NZL,New Zealand,240.0,3.0,36086.0,8.84,7.464395405,28.0
OMN,Oman,4802.0,2.0,37961.0,7.57,5.582145205,95.0
PAK,Pakistan,674.0,1.0,5035.0,6.23,8.677756852,135.0
PAN,Panama,4965.0,2.0,22267.0,7.86,8.300729283999999,64.0
PER,Peru,7066.0,2.0,12237.0,7.64,8.211755149,109.0
PHL,Philippines,241.0,1.0,7599.0,7.54,8.794117647,84.0
POL,Poland,787.0,7.0,27216.0,7.43,5.793037765,104.0
PRT,Portugal,3632.0,3.0,27937.0,7.6,5.7066757489999995,69.0
PRY,Paraguay,181.0,1.0,8827.0,7.04,9.305155119,96.0
QAT,Qatar,28072.0,1.0,116936.0,7.68,6.537882662,54.0
